('sayın', 'başkan'),227620.0,9.133616337847206e-07
('soru', 'önergesi'),160667.0,6.447026093700111e-07
('sıralarından', 'alkışlar'),160427.0,6.437395731227999e-07
('türkiye', 'büyük'),131101.0,5.260645690156535e-07
('büyük', 'millet'),130883.0,5.251898110911033e-07
('yazılı', 'soru'),130721.0,5.245397616242358e-07
('başkan', 'sayın'),128863.0,5.170842560104092e-07
('değerli', 'milletvekilleri'),127728.0,5.125298970913063e-07
('kabul', 'edenler'),109905.0,4.410124177827859e-07
('geliş', 'tarihi'),103917.0,4.169846634148669e-07
