('sayın', 'başkan'),227620.0,1.8259959795414172e-06
('soru', 'önergesi'),160667.0,1.288891267556273e-06
('sıralarından', 'alkışlar'),160427.0,1.2869659597899827e-06
('türkiye', 'büyük'),131101.0,1.0517093949806937e-06
('büyük', 'millet'),130883.0,1.0499605737596466e-06
('yazılı', 'soru'),130721.0,1.0486609910174007e-06
('başkan', 'sayın'),128863.0,1.0337559000600365e-06
('değerli', 'milletvekilleri'),127728.0,1.024650798748622e-06
('kabul', 'edenler'),109905.0,8.816726307544884e-07
('geliş', 'tarihi'),103917.0,8.336362019855454e-07
