('mil', 'let', 'li'),29549.0,1.341270029181067e-12
('ar', 'ka', 'daş'),22557.0,1.023904207047936e-12
('başkanlığa', 'geliş', 'tarihi'),19192.0,8.711673661614964e-13
('yazılı', 'soru', 'önergesi'),19020.0,8.633603121845372e-13
('türkiye', 'büyük', 'millet'),17821.0,8.089378835893392e-13
('önergesi', 'başkanlığa', 'geliş'),16772.0,7.61323932299629e-13
('li', 'ar', 'ka'),16502.0,7.490686731497513e-13
('soru', 'önergesi', 'başkanlığa'),16349.0,7.421240262981538e-13
('sunuyorum', 'kabul', 'edenler'),14735.0,6.688648104911067e-13
('oylarınıza', 'sunuyorum', 'kabul'),14678.0,6.662775891150214e-13
