('sayın', 'başkan'),33819.0,4.695914816338167e-07
('sıralarından', 'alkışlar'),31133.0,4.3229630955609844e-07
('ilişkin', 'açıklaması'),21571.0,2.9952771856311927e-07
('ak', 'parti̇'),21487.0,2.983613766217461e-07
('değerli', 'milletvekilleri'),20953.0,2.9094677428015953e-07
('mikrofon', 'otomatik'),17059.0,2.3687849428364614e-07
('otomatik', 'cihaz'),17052.0,2.3678129912186505e-07
('cihaz', 'kapatıldı'),17038.0,2.3658690879830286e-07
('başkan', 'sayın'),16907.0,2.3476797077068515e-07
('parti̇', 'sıralarından'),15273.0,2.120798430063547e-07
