('türkiye', 'büyük', 'millet'),17746.0, 0.0017133722982476602
('büyük', 'millet', 'meclisi'),13111.0, 0.0012658640934478233
('başkanlığa', 'geliş', 'tarihi'),11178.0, 0.0010792333793425192
('yazılı', 'soru', 'önergesi'),9988.0, 0.0009643391476894867
('sayın', 'başkan', 'değerli'),9634.0, 0.0009301605275170719
('önergesi', 'başkanlığa', 'geliş'),9218.0, 0.0008899958213257597
('soru', 'önergesi', 'başkanlığa'),8936.0, 0.0008627687849172259
('başkan', 'değerli', 'milletvekilleri'),8281.0, 0.0007995286826208089
('millet', 'meclisi', 'başkanlığına'),7430.0, 0.0007173648245227158
('sıralarından', 'alkışlar', 'başkan'),7066.0, 0.0006822207066053176
