('sayın', 'başkan'),27219.0, 0.002627988058338844
('sıralarından', 'alkışlar'),18197.0, 0.0017569160769165635
('türkiye', 'büyük'),18085.0, 0.0017461025032167968
('büyük', 'millet'),18007.0, 0.0017385716215330307
('değerli', 'milletvekilleri'),17827.0, 0.0017211926638012627
('soru', 'önergesi'),17530.0, 0.0016925173835438457
('başkan', 'sayın'),15412.0, 0.0014880249809000427
('millet', 'meclisi'),13179.0, 0.0012724293552609435
('yazılı', 'soru'),11624.0, 0.0011222944704115038
('başkanlığa', 'geliş'),11238.0, 0.0010850262610533792
