('yazılı', 'soru', 'önergesi'),69371.0,8.204948635815933e-12
('başkanlığa', 'geliş', 'tarihi'),51190.0,6.054574076502537e-12
('bakanından', 'yazılı', 'soru'),50126.0,5.928728494240315e-12
('önergesi', 'başkanlığa', 'geliş'),47122.0,5.57342762101126e-12
('soru', 'önergesi', 'başkanlığa'),46200.0,5.464377219840425e-12
('türkiye', 'büyük', 'millet'),32106.0,3.7973963585587016e-12
('büyük', 'millet', 'meclisi'),23833.0,2.818899646100656e-12
('sayın', 'başkan', 'değerli'),15981.0,1.8901970973008762e-12
('ak', 'parti̇', 'sıralarından'),14933.0,1.7662439298095146e-12
('başkan', 'değerli', 'milletvekilleri'),14417.0,1.7052135534492644e-12
