('sayın', 'başkan'),27219.0,3.968189883061054e-07
('sıralarından', 'alkışlar'),18196.0,2.652797623147024e-07
('büyük', 'millet'),18005.0,2.6249532341806513e-07
('türkiye', 'büyük'),17929.0,2.613873791450577e-07
('değerli', 'milletvekilleri'),17827.0,2.5990040130496867e-07
('soru', 'önergesi'),17528.0,2.5554151528353127e-07
('başkan', 'sayın'),15317.0,2.2330908386748428e-07
('millet', 'meclisi'),13174.0,1.9206797101149664e-07
('yazılı', 'soru'),11618.0,1.6938426984308003e-07
('başkanlığa', 'geliş'),11238.0,1.6384454847804255e-07
