('mil', 'let', 've'),42194.0,1.9110087702123e-12
('ve', 'ki', 'li'),31622.0,1.4322035866909248e-12
('let', 've', 'ki'),29844.0,1.3516780838247683e-12
('ar', 'ka', 'daş'),22557.0,1.0216503338890644e-12
('tür', 'ki', 'ye'),22071.0,9.996394259065266e-13
('de', 'ğer', 'li'),20510.0,9.289418387445073e-13
('de', 'vam', 'la'),20130.0,9.117316637787372e-13
('başkanlığa', 'geliş', 'tarihi'),19192.0,8.69249705573757e-13
('yazılı', 'soru', 'önergesi'),19016.0,8.612786771685582e-13
('türkiye', 'büyük', 'millet'),17819.0,8.07066626026382e-13
