('türkiye', 'büyük', 'millet'),14903.0,3.36383977328431e-12
('büyük', 'millet', 'meclisi'),11706.0,2.642251169587867e-12
('millet', 'meclisi', 'başkanlığına'),7868.0,1.7759837122882272e-12
('yazılı', 'soru', 'önergesi'),7710.0,1.7403218419772989e-12
('başkanlığa', 'geliş', 'tarihi'),6760.0,1.5258992040318434e-12
('önergesi', 'başkanlığa', 'geliş'),4981.0,1.1243646009739855e-12
('soru', 'önergesi', 'başkanlığa'),4723.0,1.0661319266687986e-12
('etmeyenler', 'kabul', 'edilmiştir'),4428.0,9.99548054885736e-13
('sözlü', 'soru', 'önergesi'),3880.0,8.758600489971997e-13
('sayın', 'başkan', 'değerli'),3649.0,8.237214917704627e-13
