C(w1;w2),collocation,tag pattern
18189,"('sıralarından', 'alkışlar')",NN
17993,"('Büyük', 'Millet')",AN
16761,"('soru', 'önergesi')",NN
13162,"('Millet', 'Meclisi')",NN
9978,"('yazılı', 'soru')",AN
9381,"('BAŞKAN', 'Teşekkür')",AN
9217,"('önergesi', 'Başkanlığa')",NN
9111,"('değerli', 'milletvekilleri')",AN
8976,"('Türkiye', 'de')",AN
8805,"('Kabul', 'edenler')",NN
8710,"('Değerli', 'milletvekilleri')",AN
7685,"('Sayın', 'Bakan')",AN
7542,"('Grubu', 'adına')",NN
7531,"('Sayın', 'milletvekilleri')",AN
7465,"('Meclisi', 'Başkanlığına')",NN
7257,"('sözlü', 'soru')",AN
7057,"('Partisi', 'Grubu')",NN
6676,"('Değerli', 'arkadaşlar')",AN
6524,"('Teşekkür', 'ederim')",NN
5956,"('Malî', 'Yılı')",AN
5468,"('Devlet', 'Bakanı')",NN
5311,"('Hakkında', 'Kanun')",NN
5305,"('ilişkin', 'sorusu')",NN
5224,"('DYP', 'sıralarından')",NN
5054,"('Doğru', 'Yol')",AN
5009,"('cihaz', 'tarafından')",NN
4990,"('otomatik', 'cihaz')",AN
4959,"('bir', 'şey')",AN
4913,"('GRUBU', 'ADINA')",NN
4912,"('Değerli', 'arkadaşlarım')",AN
4841,"('bir', 'şekilde')",AN
4826,"('Millî', 'Eğitim')",AN
4602,"('ne', 'kadar')",AN
4594,"('arz', 'ederim')",NN
4349,"('Yol', 'Partisi')",NN
3779,"('şu', 'anda')",AN
3778,"('Türkiye', 'Cumhuriyeti')",AN
3686,"('Ankara', 'Milletvekili')",NN
3648,"('Milletvekili', 'Mehmet')",NN
3637,"('Kanun', 'Tasarısı')",NN
3624,"('sayın', 'milletvekilleri')",AN
3439,"('ilişkin', 'Başbakandan')",NN
3435,"('MHP', 'sıralarından')",NN
3352,"('edenler', 'Kabul')",NN
3331,"('çok', 'önemli')",AN
3324,"('söz', 'konusu')",NN
3271,"('bugüne', 'kadar')",NN
3198,"('ilişkin', 'Devlet')",NN
3151,"('kanun', 'tasarısının')",NN
3146,"('DSP', 'sıralarından')",NN
2965,"('en', 'önemli')",NN
2933,"('adına', 'söz')",NN
2876,"('Fazilet', 'Partisi')",NN
2810,"('Sayılı', 'Kanun')",AN
2794,"('Devlet', 'Bakanından')",NN
2749,"('BAŞKAN', 'Buyurun')",AN
2726,"('ın', 'cevabı')",NN
2688,"('BAŞKAN', 'Kabul')",AN
2675,"('GENÇ', 'Tunceli')",AN
2664,"('Bursa', 'Milletvekili')",NN
2660,"('Millet', 'Meclisinin')",NN
2649,"('bir', 'an')",AN
2629,"('Tabiî', 'Kaynaklar')",AN
2602,"('Konya', 'Milletvekili')",NN
2593,"('için', 'de')",AN
2431,"('BAŞKAN', 'Komisyon')",AN
2346,"('sayılı', 'kanun')",AN
2338,"('Yüce', 'Heyetinizi')",AN
2311,"('ilişkin', 'önergesi')",NN
