('türkiye', 'büyük'),15281.0,7.120625157451265e-07
('büyük', 'millet'),15139.0,7.054458303912144e-07
('sayın', 'başkan'),14472.0,6.743660477781202e-07
('soru', 'önergesi'),12636.0,5.888151019345805e-07
('millet', 'meclisi'),11888.0,5.539610128872124e-07
('başkan', 'sayın'),11159.0,5.199922549787481e-07
('sıralarından', 'alkışlar'),9788.0,4.56108623850484e-07
('yazılı', 'soru'),9760.0,4.5480392532999426e-07
('meclisi', 'başkanlığına'),7972.0,3.7148960552157975e-07
('sayın', 'milletvekilleri'),7206.0,3.3579678171103974e-07
